CONTROL_ID,SRC_DB_NAME,DATABASE_NAME,SCHEMA_NAME,SERVICE_URL,OBJ_TYPE,OBJ_NAME,INSRT_TIME_COL,UPDT_TIME_COL,PRIMARY_KEY_COL,COL_NAMES,IS_DELETION,DELETED_TBL,SF_TBL,ENTITY_VALUE,FILTER_VALUE,CLIENT,MASTER_TBL
35,SAP_ODATA,DEMO_DB,BIO_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_LIKPSet,Erdat,Aedat,"Vbeln,Mandt",*,NO,,LIKP_SAP1,OS_LIKPSet,'PRCTR' eq '1500GI0001' and 'DATE' eq ,?sap-client=120,
36,SAP_ODATA,DEMO_DB,BIO_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_LIPSSet,Erdat,Aedat,"Mandt,Vbeln,Posnr",*,NO,,LIPS_SAP1,OS_LIPSSet,'PRCTR' eq '1500GI0001' and 'DATE' eq ,?sap-client=120,
89,SAP_ODATA,DEMO_DB,BIO_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_VBRPSet,Erdat,Erdat,"Mandt,Vbeln,Posnr",*,NO,,VBRP_SAP1,OS_VBRPSet,'PRCTR' eq '1500GI0001' and 'DATE' eq ,?sap-client=120,
